Oportunidade: Nº da Oportunidade;Empresa;Data de criação;Data de envio proposta;Data de Fechada e Ganha;Data da última modificação;Valor;Fase Comercial;Nome de Nova Venda;Finalidade;Origem;Departamento(s) da oportunidade;Motivo Perdido;Tipo de venda;ERP;Forma de Pagamento;Observações;SKU;Quantidade de itens da cotação;Vendedor
902581;1726;10/12/2021;10/12/2021;13/12/2021;13/12/2021;20026;Projeto em andamento;NV - 0016382;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Cartão de Crédito;Monitor Led 19 Tronos 19Trs-Xie-V Preto Widescreen;4455114864;34;C
902567;2060;10/12/2021;10/12/2021;09/12/2021;20/12/2021;106874,7;Projeto em andamento;NV - 0016375;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Samsung Book NP550XDA-KF2BR Intel Core i5-1135G7 8GB 256GB S...;3081358919;30;C
902583;2069;10/12/2021;10/12/2021;;20/12/2021;26249,93;Congelada;NV - 0016381;Revenda;;PCS;;Cotação;;Boleto;Notebook Samsung Book NP550XDA-KF2BR Intel Core i5-1135G7 8GB 256GB S...;3081358919;7;C
902594;329;10/12/2021;10/12/2021;;03/01/2022;18989,9;Congelada;NV - 0016383;Revenda;;ELETRODOMESTICOS;;Cotação;;Boleto;Máquina de Lavar Electrolux LED14 14kg Branca com Cesto Inox Jet&Clean e Ultra Filter - 110V;3129757477;10;C
902599;742;10/12/2021;10/12/2021;22/12/2021;22/12/2021;13797;Congelada;NV - 0016386;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Preto Tela 6,1"" 4G Câmera 12MP iOS";1611315984;3;G
902597;1284;10/12/2021;10/12/2021;10/12/2021;10/12/2021;13053;Projeto em andamento;NV - 0016385;Revenda;;ELETROPORTÁTEIS;;Cotação;;Boleto;Batedeira Planetária Mondial BP-03-B 12 Velocidades 127v;209360921;57;C
902613;1992;10/12/2021;10/12/2021;10/12/2021;10/12/2021;423150;Projeto em andamento;NV - 0016387;Revenda;;PC GAMER;;;;Boleto;Console Xbox Series S 500gb Ssd;2117190565;210;G
902615;2070;10/12/2021;10/12/2021;;20/12/2021;17199,96;Congelada;NV - 0016388;Uso e consumo;;AGRO, INDÚSTRIA E COMÉRCIO;;Cotação;;Boleto;"Smart Tv 60"" Crystal UHD Samsung 4k 60AU8000 Painel Dynamic Crystal Color design slim tela sem limites";3069509121;4;C
902627;2071;10/12/2021;10/12/2021;;20/12/2021;15995;Congelada;NV - 0016393;Uso e consumo;;PCS;;Cotação;;Boleto;Computador Desktop Lenovo V50s i3-10100 4GB 500GB Windows 10 Pro 11HA0...;4086247847;5;C
902622;2046;10/12/2021;10/12/2021;;20/12/2021;57490;Congelada;NV - 0016389;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591024097;10;C
902622;2046;10/12/2021;10/12/2021;;20/12/2021;66460;Congelada;NV - 0016390;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy S21 Ultra 256GB 5G Wi-Fi Tela 6.8'' Dual Chi...;2810434791;10;C
902635;1986;10/12/2021;10/12/2021;22/12/2021;22/12/2021;67095,54;Congelada;NV - 0016395;Uso e consumo;;TABLETS;;Cotação;;Boleto;"Tablet Samsung Galaxy A7 64GB Wi-Fi Tela 10.4"" Octa-Core 2.0GHz - Graf...";2098828294;45;G
902632;2072;10/12/2021;10/12/2021;;20/12/2021;11700;Congelada;NV - 0016394;Uso e consumo;;PAPELARIA;;Cotação;;Boleto;Pele De Sutura - Simulador Para Treinos;4199984915;100;C
902469;2073;10/12/2021;10/12/2021;22/12/2021;22/12/2021;21499,9;Congelada;NV - 0016357;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Boleto;Lavadora de Roupas Brastemp 12Kg com Água Quente BWR12 Branca 220V;134560281;10;G
902210;2074;10/12/2021;10/12/2021;;10/12/2021;14664;Congelada;NV - 0016318;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (128GB) Branco tela 6,1"" Câmera 12MP iOS";1611324805;3;C
902208;2075;10/12/2021;10/12/2021;;14/12/2021;137970;Congelada;NV - 0016313;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Preto Tela 6,1"" 4G Câmera 12MP iOS";1611315984;30;C
902208;2075;10/12/2021;10/12/2021;;14/12/2021;104980;Congelada;NV - 0016316;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Azul;3591024468;20;C
902208;2075;10/12/2021;10/12/2021;;14/12/2021;113900;Congelada;NV - 0016314;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591024097;20;C
902208;2075;10/12/2021;10/12/2021;;14/12/2021;108980;Congelada;NV - 0016315;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591023246;20;C
902208;2075;10/12/2021;10/12/2021;;14/12/2021;54490;Congelada;NV - 0016317;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Branco;3591024142;10;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;130355,2;Projeto em andamento;NV - 0016359;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A03s 64GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP - Azul;3695304325;190;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;55032;Projeto em andamento;NV - 0016364;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul;2891924134;100;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;89533,58;Projeto em andamento;NV - 0016365;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Moto G60 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Azul;3177003864;62;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;130355,2;Projeto em andamento;NV - 0016366;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A03s 64GB 4G Wi-Fi Tela 6,5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP - Vermelho;3695306401;190;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;28881,8;Projeto em andamento;NV - 0016367;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Moto G60 128GB 4G Wi-Fi Tela 6.8'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Champagne;3171319315;20;C
902476;1983;10/12/2021;10/12/2021;10/12/2021;10/12/2021;62371,14;Projeto em andamento;NV - 0016369;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartwatch Samsung Galaxy Watch3 41mm - Prata;1902702360;66;C
902495;1623;10/12/2021;10/12/2021;10/12/2021;10/12/2021;14299,89;Projeto em andamento;NV - 0016361;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Cartão de Crédito;"Smart TV LED 32"" Philco PTV32G52S HD";1322119303;11;C
902224;2076;10/12/2021;10/12/2021;10/12/2021;10/12/2021;112994,55;Projeto em andamento;NV - 0016319;Revenda;;PCS;;Cotação;;Boleto;"Notebook Vaio FE15 Intel Core i3-10110U 4GB 128GB SSD Linux 15.6"" Chum...";3529354950;45;C
902505;2077;10/12/2021;10/12/2021;22/12/2021;22/12/2021;54719,68;Congelada;NV - 0016362;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Boleto;"Smart TV 42"" Philco Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";3280822551;32;G
902239;2078;10/12/2021;10/12/2021;;20/12/2021;22995;Congelada;NV - 0016320;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";1614132374;5;C
902263;547;10/12/2021;10/12/2021;10/12/2021;10/12/2021;36760;Projeto em andamento;NV - 0016321;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";1614132251;10;C
902531;200;10/12/2021;10/12/2021;22/12/2021;22/12/2021;103616,52;Congelada;NV - 0016363;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Acer A515-54g-53xp Ci5-10210u 8gb 256gbssd W10 15,6 Mx250-2gb;3280454495;28;G
902538;1611;10/12/2021;10/12/2021;10/12/2021;22/12/2021;18000;Projeto em andamento;NV - 0016370;Revenda;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Aspirador De Pó Philco Ph1100 Rapid Turbo 2 em 1 Vermelho 1000W - 110V;133187761;125;G
902284;2079;10/12/2021;10/12/2021;;03/03/2022;41998;Congelada;NV - 0016325;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Samsung Tela 11.6 N4000 32GB 4GBRAM Chromebook XE310XBA-KT1BR;3316799664;20;C
902266;2080;10/12/2021;10/12/2021;;20/12/2021;19499,95;Congelada;NV - 0016323;Revenda;;ELETRONICOS (TVs);;Cotação;;Boleto;"Smart TV 60"" UHD Samsung 4k 60AU7700 Processador Crystal 4k";3480206550;5;C
902266;2080;10/12/2021;10/12/2021;;20/12/2021;10029,98;Congelada;NV - 0016324;Revenda;;ELETRONICOS (TVs);;Cotação;;Boleto;Smart TV 82'' Samsung Crystal UHD 82TU8000 4K, Wi-fi, Borda Infinita, ...;1738809914;1;C
902559;542;10/12/2021;10/12/2021;22/12/2021;22/12/2021;77998,6;Congelada;NV - 0016371;Revenda;;PCS;;Cotação;;Cartão de Crédito;Notebook Acer A515-54g-53xp Ci5-10210u 8gb 256gbssd W10 15,6 Mx250-2gb;3280454495;20;G
902557;2081;10/12/2021;10/12/2021;;17/01/2022;83161,87;Congelada;NV - 0016372;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Boleto;Ar Condicionado Split Hi Wall Dual Inverter LG Voice 18.000 Btus Quente e Frio 220v;2757064508;25;C
902557;2081;10/12/2021;10/12/2021;;17/01/2022;71999,6;Congelada;NV - 0016373;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Boleto;"Smart TV 42"" Philco Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 usb Wifi Dolby Audio";3280822569;40;C
902557;2081;10/12/2021;10/12/2021;;17/01/2022;59346;Congelada;NV - 0016374;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Boleto;Frigobar 93 Litros Midea Classe A MRC10B1;3065849718;45;C
902557;2081;10/12/2021;10/12/2021;;17/01/2022;76773,54;Congelada;NV - 0016376;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Boleto;Ar Condicionado Split Inverter Electrolux Techno Quente e Frio High Wall 9000 BTUs QI09R 220V 220V;34473236;46;C
902306;2082;10/12/2021;10/12/2021;;20/12/2021;224950;Congelada;NV - 0016326;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) (PRODUCT)RED Tela 6,1"" 4G Wi-Fi Câmera 12MP iOS";1614132366;50;C
902019;2083;09/12/2021;10/12/2021;;10/12/2021;15996;Congelada;NV - 0016287;Revenda;;PCS;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco tela 6,1"" Câmera 12MP iOS";1611324805;4;C
902384;861;10/12/2021;10/12/2021;10/12/2021;10/12/2021;39100;Projeto em andamento;NV - 0016337;Uso e consumo;;PCS;;Cotação;;Cartão de Crédito;"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";2520061536;5;C
902384;861;10/12/2021;10/12/2021;10/12/2021;10/12/2021;35399,97;Projeto em andamento;NV - 0016338;Uso e consumo;;PCS;;Cotação;;Cartão de Crédito;"Macbook Pro 13"" M1 (8GB 512GB SSD) Cinza-Espacial";2535473226;3;C
902383;2084;10/12/2021;10/12/2021;10/12/2021;10/12/2021;5951,96;Projeto em andamento;NV - 0016335;Uso e consumo;;ELETRONICOS (TVs);;;;Cartão de Crédito;Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI,;1618074503;4;C
902383;2084;10/12/2021;10/12/2021;10/12/2021;10/12/2021;4100,2;Projeto em andamento;NV - 0016336;Uso e consumo;;ELETRONICOS (TVs);;;;Cartão de Crédito;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip;2655733635;4;C
902168;2018;10/12/2021;10/12/2021;;14/12/2021;9198;Congelada;NV - 0016291;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Branco Tela 6,1"" 4G Câmera 12MP iOS";1614132374;2;C
902168;2018;10/12/2021;10/12/2021;;14/12/2021;14664;Congelada;NV - 0016292;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (128GB) Branco tela 6,1"" Câmera 12MP iOS";1611324805;3;C
902394;313;10/12/2021;10/12/2021;21/12/2021;21/12/2021;119999,5;Congelada;NV - 0016339;Revenda;;ELETRONICOS (TVs);;Cotação;;Boleto;"Smart Google TV 50"" LED Philco Borderless 4k Fast Smart Áudio Dolby Com Chromecast Built In - PTV50G71AGBLS 4k";1803603260;50;G
902394;313;10/12/2021;10/12/2021;21/12/2021;21/12/2021;154499,5;Congelada;NV - 0016340;Revenda;;ELETRONICOS (TVs);;Cotação;;Boleto;"Smart TV 50"" UHD Samsung 4k 50AU7700 Processador Crystal 4k Tela Sem Limites Visual Livre de Cabos Alexa Built In";3069506190;50;G
902394;313;10/12/2021;10/12/2021;21/12/2021;21/12/2021;86735,55;Congelada;NV - 0016341;Revenda;;ELETRONICOS (TVs);;Cotação;;Boleto;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591023246;15;G
902418;2085;10/12/2021;10/12/2021;22/12/2021;22/12/2021;11104,8;Congelada;NV - 0016344;Revenda;;ELETROPORTÁTEIS;;Cotação;;Boleto;Purificador De Água Electrolux PA21G Branco Bivolt;125774835;12;G
902418;2085;10/12/2021;10/12/2021;22/12/2021;22/12/2021;13684,92;Congelada;NV - 0016345;Revenda;;ELETROPORTÁTEIS;;Cotação;;Boleto;Purificador de Água Pure 4x Electrolux Branco PE12B Bivolt;2877991277;18;G
902418;2085;10/12/2021;10/12/2021;22/12/2021;22/12/2021;13982,67;Congelada;NV - 0016346;Revenda;;ELETROPORTÁTEIS;;Cotação;;Boleto;Purificador de Água Pure 4x Electrolux Grafite PE12G Bivolt;2875670701;17;G
902185;2086;10/12/2021;10/12/2021;;20/12/2021;26994;Congelada;NV - 0016298;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) (PRODUCT)RED Tela 6,1"" 4G Wi-Fi Câmera 12MP iOS";1614132366;6;C
902185;2086;10/12/2021;10/12/2021;;20/12/2021;45990;Congelada;NV - 0016300;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (64GB) Preto Tela 6,1"" 4G Câmera 12MP iOS";1611315984;10;C
902185;2086;10/12/2021;10/12/2021;;20/12/2021;17085;Congelada;NV - 0016301;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - PRODUCT(RE...;3624889442;3;C
902185;2086;10/12/2021;10/12/2021;;20/12/2021;28475;Congelada;NV - 0016302;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Roxo;3591021751;5;C
902413;2087;10/12/2021;10/12/2021;22/12/2021;22/12/2021;49990;Congelada;NV - 0016343;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (128GB) Branco tela 6,1"" Câmera 12MP iOS";1611324805;10;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;257960;Congelada;NV - 0016349;Revenda;;TELEFONIA;;Cotação;;Boleto;iPhone 12 Apple 256GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Azul;3591020977;40;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;40798;Congelada;NV - 0016350;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPad Pro 12,9"" Apple M1 Wi-Fi + Cellular 512GB - Cinza espacial";3204999995;2;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;107955;Congelada;NV - 0016351;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6...;3234383171;45;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;48995;Congelada;NV - 0016352;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 12 Pro Apple (512GB) Prateado tela 6,1"" Câmera tripla 12MP iOS";2290962910;5;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;65596;Congelada;NV - 0016353;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPad Pro 11"" Apple M1 Wi-Fi + Cellular 512GB - Cinza-espacial";3216407643;4;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;1879350;Congelada;NV - 0016355;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB R...;2655733715;1650;G
902433;367;10/12/2021;10/12/2021;15/12/2021;15/12/2021;149999,85;Congelada;NV - 0016356;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPad Pro 11"" Apple (WiFi + Cellular) 256GB Prateado";1632303368;15;G
902451;2088;10/12/2021;10/12/2021;;20/12/2021;87087;Congelada;NV - 0016354;Uso e consumo;;PCS;;;;Boleto;"Computador Completo Fácil Intel Core i5 8GB SSD 480GB Monitor 19"" HDMI LED Teclado e Mouse";1797563192;33;C
902351;2089;10/12/2021;10/12/2021;;20/12/2021;51018,6;Congelada;NV - 0016330;Revenda;;TELEFONIA;;Cotação;;;"iPhone 11 Apple (64GB) (PRODUCT)RED Tela 6,1"" 4G Wi-Fi Câmera 12MP iOS";1614132366;10;C
902351;2089;10/12/2021;10/12/2021;;20/12/2021;47390;Congelada;NV - 0016331;Revenda;;TELEFONIA;;Cotação;;;"iPhone 11 Apple (128GB) Branco tela 6,1"" Câmera 12MP iOS";1611324805;10;C
902351;2089;10/12/2021;10/12/2021;;20/12/2021;54490;Congelada;NV - 0016332;Revenda;;TELEFONIA;;Cotação;;;iPhone 12 Apple 64GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591023246;10;C
902351;2089;10/12/2021;10/12/2021;;20/12/2021;57490;Congelada;NV - 0016333;Revenda;;TELEFONIA;;Cotação;;;iPhone 12 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera 12MP - Preto;3591024097;10;C
904481;1221;15/12/2021;10/12/2021;10/12/2021;15/12/2021;32433,5;Projeto em andamento;NV - 0016545;Uso e consumo;;TELEFONIA;;;;Boleto;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul;2891924134;50;C
891304;2034;08/12/2021;10/12/2021;12/12/2021;25/02/2022;74240;Projeto em andamento;NV - 0016444;Uso e consumo;;;;Cotação;;;MESA - iPhone 13;3919422014;8;K
891304;2034;08/12/2021;10/12/2021;12/12/2021;25/02/2022;65850;Projeto em andamento;NV - 0016446;Uso e consumo;;;;Cotação;;;MESA - Galaxy S21+;2826495759;14;K
890847;1175;30/11/2021;10/12/2021;10/12/2021;10/12/2021;41568;Projeto em andamento;NV - 0015745;Revenda;;PCS;;;;Boleto;NOTEBOOK LENOVO IDEAPAD S145 I5-1035G1 8GB 256GB SSD LINUX 15.6 FHD;4291747120;15;C
890847;1175;30/11/2021;10/12/2021;10/12/2021;10/12/2021;27712;Projeto em andamento;NV - 0016392;Revenda;;PCS;;;;Boleto;NOTEBOOK LENOVO IDEAPAD S145 I5-1035G1 8GB 256GB SSD LINUX 15.6 FHD 82DJS00300 PRATA;4291747120;10;C
870158;2090;11/10/2021;11/12/2021;20/10/2021;20/10/2021;63406;Congelada;NV - 0013496;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (128GB) Preto tela 6,1"" Câmera 12MP iOS";1611318026;14;G
870158;2090;11/10/2021;11/12/2021;20/10/2021;20/10/2021;50256,42;Congelada;NV - 0013497;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;"Smart TV Philco 42"" Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi";3280822569;25;G
870158;2090;11/10/2021;11/12/2021;20/10/2021;20/10/2021;56975;Congelada;NV - 0013498;Uso e consumo;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6...;3234381205;25;G
886243;1614;11/11/2021;11/12/2021;13/11/2021;01/12/2021;8166,42;Projeto em andamento;NV - 0015845;Revenda;;TELEFONIA;;Cotação;;Boleto;"iPhone 11 Apple (128GB) (PRODUCT)RED tela 6,1"" Câmera 12MP iOS";1611344831;2;G
904476;1489;15/12/2021;11/12/2021;11/12/2021;15/12/2021;9891,93;Projeto em andamento;NV - 0016540;Revenda;;ELETRONICOS (TVs);;;;Cartão de Crédito;"Smart TV 42"" Philco Roku LED Full HD - 42G52RCF com App Mobile 3 Hdmi 2 Usb Wifi Dolby Audio";3280822551;6;C
907934;1535;21/12/2021;12/12/2021;21/12/2021;23/12/2021;102259,2;Projeto em andamento;NV - 0016797;Revenda;;PCS;;Cotação;;Boleto;Smartphone Motorola Moto E7 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Metálico;2626417844;160;C
874300;1612;20/10/2021;13/12/2021;;18/01/2022;97000;Projeto em Desenvolvimento;NV - 0016712;;;TELEFONIA;;;;Faturado;100 A12 - Compradora Raissa - Pedido 09-914030662;0;100;O
902581;1726;10/12/2021;13/12/2021;13/12/2021;13/12/2021;18239,68;Projeto em andamento;NV - 0016378;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Cartão de Crédito;"Monitor Aoc 21.5"" Led Com Painel Va Com Entrada Hdmi 22B1HM5";3699743093;25;C
886224;2091;11/11/2021;13/12/2021;01/12/2021;01/12/2021;11299,9;Congelada;NV - 0014869;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Multifuncional Epson Ecotank L3210;3831320208;10;G
886243;1614;11/11/2021;13/12/2021;13/11/2021;01/12/2021;11394;Projeto em andamento;NV - 0014874;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Realme 8 Pro 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 8GB RAM Câ...;3386665451;6;G
902483;1984;10/12/2021;13/12/2021;13/12/2021;13/12/2021;166474,98;Projeto em andamento;NV - 0016360;Revenda;;CLIMATIZAÇÃO;;Cotação;;Boleto;Ar Condicionado Split Inverter Philco 24000 BTUs PAC24000IFM9W -;2538817485;53;C
903410;2092;13/12/2021;13/12/2021;14/12/2021;23/12/2021;66959,82;Projeto em andamento;NV - 0016452;Revenda;;PCS;;Cotação;;Boleto;Notebook Acer Aspire 5 A515-54-58kb Intel Core I5-10210u 8gb (uhd Intel) 512gb Ssd W10 15.6” Prata;3735745054;18;G
903126;2093;13/12/2021;13/12/2021;22/12/2021;22/12/2021;83634;Congelada;NV - 0016404;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;Boleto;Ar Condicionado Split Electrolux 12000 BTUs Ecoturbo VI12F/VE12F - 220v;2574584703;53;G
903132;2094;13/12/2021;13/12/2021;14/12/2021;14/12/2021;26427;Congelada;NV - 0016405;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Motorola Moto G10 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RA...;2917268754;23;G
903139;2095;13/12/2021;13/12/2021;22/12/2021;22/12/2021;13999,9;Congelada;NV - 0016408;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;Boleto;Ar Condicionado Split Philco 9000 BTUs PAS9200F1 Frio - 220V;4183904757;10;G
903133;2096;13/12/2021;13/12/2021;;20/12/2021;17599,96;Congelada;NV - 0016406;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Dell Inspiron I15-3583-AS90P 8ª Intel Core I7 8GB 256GB SSD 15,6 W10;1936036609;4;C
917024;2097;13/01/2022;13/12/2021;13/01/2022;13/01/2022;4662,96;Projeto em andamento;NV - 0017860;Uso e consumo;;CONSTRUÇÃO & FERRAMENTAS - JARDIM;;Cotação;;Faturado;Lavadora De Alta Pressão Hd 4/13 Kärcher - 220v;2134938723;3;E
853196;697;11/08/2021;13/12/2021;;23/03/2022;6762,8;Apresentação;NV - 0016475;Uso e consumo;;;;;;;Smartphone Samsung Galaxy A12 e A02;2655733660;8;I
903267;2098;13/12/2021;13/12/2021;;23/12/2021;12940;Congelada;NV - 0016427;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB R...;2891924311;20;C
903292;2099;13/12/2021;13/12/2021;;21/12/2021;238740;Congelada;NV - 0016432;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy Note 20 256GB 5G Wi-Fi Tela 6.7'' Dual Chip ...;1962217016;60;C
903278;200;13/12/2021;13/12/2021;23/12/2021;23/12/2021;109345,6;Congelada;NV - 0016428;Uso e consumo;;PCS;;Cotação;;Boleto;Notebook Acer A515-54g-53xp Ci5-10210u 8gb 256gbssd W10 15,6 Mx250-2gb;3280454495;38;G
903284;1761;13/12/2021;13/12/2021;19/12/2021;23/12/2021;6075,84;Projeto em andamento;NV - 0016429;Revenda;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Liquidificador Mondial L-1200 Bi Turbo Inox 1200w - 110v;133661224;48;C
903284;1761;13/12/2021;13/12/2021;19/12/2021;23/12/2021;11213,37;Projeto em andamento;NV - 0016430;Revenda;;ELETROPORTÁTEIS;;Cotação;;Cartão de Crédito;Aspirador De Pó Philco Ph1100 Rapid Turbo 2 em 1 Vermelho 1000W - 110V;133187761;63;C
903608;2080;13/12/2021;13/12/2021;13/12/2021;13/12/2021;44943,5;Projeto em andamento;NV - 0016458;Revenda;;TELEFONIA;;Cotação;;Boleto;Smartphone Samsung Galaxy M32 128GB 4G Wi-;3501167474;35;C
903290;2100;13/12/2021;13/12/2021;;23/12/2021;14163,96;Congelada;NV - 0016431;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Boleto;"2021 Smart Tv Lg 70"" 4k Uhd 70up7750 Wifi Bluetooth Hdr Inteligência A...";3646199936;3;C
903293;1988;13/12/2021;13/12/2021;;21/12/2021;626998,1;Congelada;NV - 0016433;Revenda;;PCS;;Cotação;;Boleto;Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 8GB 256GB SSD W10 1...;3943373700;190;C
903321;2101;13/12/2021;13/12/2021;23/12/2021;23/12/2021;89910;Congelada;NV - 0016434;Uso e consumo;;TABLETS;;Cotação;;Boleto;Tablet Samsung Galaxy A7 Lite 4g 32GB 3GB RAM SM-T225NZAPZTO;3420573340;90;G
